0,1,year
不要,4736,2018
柯震东,4684,2018
别人,4545,2018
还是,4516,2018
微笑,4498,2018
我们,4318,2018
那些,4267,2018
鲜花,4227,2018
不能,4225,2018
怎么,4194,2018
知道,3754,2018
希望,3687,2018
这么,3639,2018
一直,3538,2018
评论,3435,2018
快乐,3301,2018
觉得,3226,2018
为什么,3194,2018
人家,3159,2018
犯错,3069,2018
明星,3057,2018
可爱,3053,2018
现在,3008,2018
心心,2972,2018
但是,2927,2018
生日快乐,2874,2018
他们,2842,2018
出来,2819,2018
如果,2818,2018
公众,2712,2018
这个,2674,2018
微博,2644,2018
这样,2595,2018
开心,2587,2018
那么,2537,2018
因为,2482,2018
好好,2423,2018
支持,2403,2018
粉丝,2375,2018
爱心,2362,2018
牺牲,2350,2018
机会,2322,2018
人物,2239,2018
生活,2207,2018
不会,2145,2018
哈哈哈,2142,2018
一生,2139,2018
这种,2133,2018
看到,2118,2018
应该,2075,2018
时候,2057,2018
一颗,2011,2018
还有,1997,2018
已经,1983,2018
永远,1926,2018
张无忌,1903,2018
挺住,1867,2018
三观,1859,2018
萝卜,1857,2018
一样,1851,2018
只是,1845,2018
田里,1829,2018
大萝卜,1827,2018
这些,1820,2018
一起,1762,2018
艺人,1742,2018
一定,1704,2018
关注,1694,2018
好久不见,1576,2018
所以,1505,2018
毒品,1493,2018
凯凯,1434,2018
每个,1406,2018
好像,1383,2018
情人节,1365,2018
大家,1364,2018
可能,1362,2018
大陆,1355,2018
嘻嘻,1342,2018
脑残粉,1333,2018
一次,1326,2018
中国,1325,2018
键盘,1318,2018
犯罪,1301,2018
今天,1299,2018
吸毒,952,2019
加油,348,2019
警察,315,2019
缉毒,306,2019
可以,227,2019
什么,201,2019
没有,176,2019
不是,176,2019
自己,171,2019
原谅,168,2019
喜欢,164,2019
一个,161,2019
就是,151,2019
你们,140,2019
我们,140,2019
真的,126,2019
别人,119,2019
评论,118,2019
怎么,115,2019
公众,115,2019
因为,113,2019
毒品,112,2019
不能,111,2019
这么,111,2019
人家,110,2019
那些,109,2019
一起,105,2019
艺人,104,2019
人物,97,2019
牺牲,95,2019
哥哥,94,2019
觉得,94,2019
知道,94,2019
如果,91,2019
还是,88,2019
他们,88,2019
不要,85,2019
一直,80,2019
但是,80,2019
犯错,80,2019
现在,78,2019
微博,77,2019
这种,77,2019
柯震东,75,2019
应该,75,2019
哈哈哈,74,2019
为什么,73,2019
不会,70,2019
出来,69,2019
改过自新,68,2019
三观,66,2019
生活,63,2019
今天,62,2019
希望,61,2019
时候,61,2019
这个,61,2019
这样,56,2019
机会,56,2019
这些,54,2019
好好,53,2019
那么,53,2019
是不是,53,2019
还有,52,2019
明星,52,2019
挺住,52,2019
多少,51,2019
脑子,51,2019
太阳,50,2019
粉丝,49,2019
亮哥,48,2019
中国,48,2019
永远,47,2019
木目,47,2019
生日快乐,46,2019
两口,45,2019
支持,45,2019
一生,44,2019
已经,44,2019
键盘,44,2019
看到,44,2019
只是,43,2019
为了,43,2019
毒贩,43,2019
一样,42,2019
可能,40,2019
东西,40,2019
不配,40,2019
难道,39,2019
说话,39,2019
社会,39,2019
兄弟,38,2019
楼主,38,2019
绘里,38,2019
继续,38,2019
开心,37,2019
关注,37,2019
禁毒,37,2019
俗世,37,2019
美人,37,2019
一次,36,2019
